xpathparser:0,xpathparser:1,xpathparser:2,xpathparser:4,xpathparser:5,xpathparser:6,xpathparser:7,xpathparser:8,xpathparser:9
31,WTS,cemetery,"Po Kong Village Road, Wong Tai Sin, Kowloon",N/A,N/A,N/A,06:30 - 19:30 hrs,"22.348953,114.207919",0
32,S,cemetery,"Stanley, HK (Near the Hong Kong Federation of Youth Groups Stanley Outdoor Activities Centre)",N/A,N/A,N/A,Not Available,"22.210531,114.214106",0
33,N,cemetery,"Ming Yin Road, Fanling, NT",N/A,N/A,N/A,06:30 - 19:30 hrs,"22.480103,114.136461",0
34,Is,cemetery,"Cheung Chau Peak Road West, Cheung Chau, NT",N/A,N/A,N/A,06:30 - 19:30 hrs,"22.199753,114.023369",0
35,Is,cemetery,"Tai O Cemetery, Lantau Island, N.T.",N/A,N/A,N/A,06:30 - 19:30 hrs,"22.258058,113.867467",0
36,Is,cemetery,"Mui Wo Lai Chi Yuen Cemetery, Lantau Island, N.T.",N/A,N/A,N/A,06:30 - 19:30 hrs,"22.254392,113.998978",0
37,N,cemetery,"Lo Wu Station Road, Lo Wu, NT",N/A,N/A,N/A,06:30 - 19:30 hrs,"22.530675,114.119833",0
38,E,crematorium,"Cape Collinson Road, Chai Wan, HK",25561377,N/A,21477514,0900 - 1800 hrs,"22.258253,114.230361",0
39,WTS,crematorium,"199 Po Kong Village Road, Wong Tai Sin, Kowloon",23259996,N/A,23545994,0900 - 1800 hrs,"22.34572,114.20784",0
40,ST,crematorium,"Lower Shing Mun Road, Tai Wai, Sha Tin, N.T.",26995090,N/A,26982415,0830 - 1800 hrs,"22.374008,114.167592",0
41,KwT,crematorium,"11-13 Wing Hau Street, Kwai Chung, NT",26144390,N/A,24396435,0830 - 1800 hrs,"22.356956,114.117836",0
42,N,crematorium,"Kiu Tau Road, Fanling, NT",26755200,N/A,29473076,0830 - 1800 hrs,"22.480881,114.147597",0
43,Is,crematorium,"Cheung Chau Peak Road West, Sai Wan, Cheung Chau",29815177,N/A,29811607,08:30 - 17:30 hrs,"22.199092,114.023003",0
44,Wch,cc_office,"1J Wong Nai Chung Road , Happy Valley, Hong Kong (Near Hong Kong Cemetery)",25704318,25725286,25911879,Mondays to Fridays:\n0900 - 1300 hrs\n1400 - 1700 hrs\n \nSaturdays:\n0900 - 1200 hrs\n \nSundays and Public Holidays:\nClose,"22.27183,114.17994",0
45,KC,cc_office,"Upper Ground Floor, 6 Cheong Hang Road, Hung Hum, Kowloon",23655321,23645364,21764963,Mondays to Fridays:\n0900 - 1300 hrs\n1400 - 1700 hrs\n \nSaturdays:\n0900 - 1200 hrs\n \nSundays and Public Holidays:\nClose,"22.30641,114.18234",0
46,Wch,cc_office,"18/F, Wu Chung House, 213 Queenand#039;s Road East, Wan Chai, Hong Kong",29618842,N/A,25153317,Mondays to Fridays:\n0900 - 1230 hrs\n1400 - 1630 hrs\n \nSaturdays:\n0900 - 1230 hrs\n \nSundays and Public Holidays:\nClose,"22.274398,114.172736",0
47,SSP,cc_office,"1/F, Cheung Sha Wan Government Offices, 303 Cheung Sha Wan Road, Sham Shui Po, Kowloon",21507502,N/A,27656402,Mondays to Fridays:\n0900 - 1230 hrs\n1400 - 1630 hrs\n \nSaturdays:\n0900 - 1230 hrs\n \nSundays and Public Holidays:\nClose,"22.33186,114.16034",0
48,E,bath,"No. 28, Tung Hei Road",N/A,N/A,N/A,7 a.m. to 9 a.m.\n4:30 p.m. to 8:30 p.m.,"22.281325,114.230214",0
49,CW,bath,Junction of Shing Wong Street and Wa Hing Lane,N/A,N/A,N/A,7 a.m. to 9 a.m.\n4:30 p.m. to 8:30 p.m.,"22.283733,114.151492",0
50,CW,bath,Junction of Gutzlaff Street and Chuk Hing Lane,N/A,N/A,N/A,7 a.m. to 9 a.m.\n4:30 p.m. to 8:30 p.m.,"22.28295,114.153897",0
51,CW,bath,Junction of Pound Lane and Tai Ping Shan Street,N/A,N/A,N/A,8 a.m. to 10 a.m.\n4:30 p.m. to 8:30 p.m.,"22.284964,114.147675",0
52,CW,bath,Junction of Water Street and Pok Fu Lam Road,N/A,N/A,N/A,8 a.m. to 10 a.m.\n4:30 p.m. to 8:30 p.m.,"22.285269,114.139194",0
53,CW,bath,Junction of Second Street and Western Street,N/A,N/A,N/A,7 a.m. to 9 a.m.\n4:30 p.m. to 8:30 p.m.,"22.286163,114.140798",0
54,Wch,bath,Junction of Kat On Street and Kennedy Street,N/A,N/A,N/A,7 a.m. to 9 a.m.\n4:30 p.m. to 10:00 p.m.,"22.273225,114.174467",0
55,YT,bath,"No. 1, Market Street",N/A,N/A,N/A,7 a.m. to 9 a.m.\n4:30 p.m. to 8:30 p.m.,"22.309494,114.170361",0
56,YT,bath,"No. 107, Parkes Street",N/A,N/A,N/A,7 a.m. to 9 a.m.\n4:30 p.m. to 8:30 p.m.,"22.306467,114.170625",0
57,MK,bath,"No. 55, Anchor Street",N/A,N/A,N/A,7 a.m. to 9 a.m.\n4:30 p.m. to 8:30 p.m.,"22.32001,114.16413",0
58,SSP,bath,557 Yee Kuk Street,N/A,N/A,N/A,7 a.m. to 9 a.m.\n4:30 p.m. to 8:30 p.m.,"22.333639,114.152656",0
59,SSP,bath,Junction of Tai Nan Street and Boundary Street,N/A,N/A,N/A,7 a.m. to 9 a.m.\n4:30 p.m. to 8:30 p.m.,"22.32650,114.16404",0
60,SSP,bath,193 Nam Cheong Street,N/A,N/A,N/A,7 a.m. to 9 a.m.\n4:30 p.m. to 8:30 p.m.,"22.33120,114.16458",0
61,KT,bath,"Side of No.90, Cha Kwo Ling Main Street",N/A,N/A,N/A,7 a.m. to 9 a.m.\n4:30 p.m. to 8:30 p.m.,"22.300746,114.228289",0
62,KT,bath,"No.1, Ting Fu Street, Ngau Tau Kok",N/A,N/A,N/A,7 a.m. to 9 a.m.\n4:30 p.m. to 8:30 p.m.,"22.317589,114.216483",0
63,KT,bath,"Entrance of Ma Wan Village, Lei Yue Mun",N/A,N/A,N/A,7 a.m. to 9 a.m.\n4:30 p.m. to 8:30 p.m.,"22.287944,114.237475",0
64,KC,bath,"No. 180, Kowloon City Road",N/A,N/A,N/A,7 a.m. to 9 a.m.\n4:30 p.m. to 8:30 p.m.,"22.321422,114.190714",0
65,Is,bath,"Peak Road, Cheung Chau",N/A,N/A,N/A,7 a.m. to 9 a.m.\n4:30 p.m. to 8:30 p.m.,"22.207444,114.030256",0
66,Is,bath,"Wing On Side Street, Peng Chau",N/A,N/A,N/A,7 a.m. to 9 a.m.\n4:00 p.m. to 8:00 p.m.,"22.284556,114.038472",0
67,TW,bath,Ma Wan Fisherman Village,N/A,N/A,N/A,24 hours,"22.349617,114.055697",0
68,YL,bath,"Sai Ching Street (Near Manhattan Plaza), Yuen Long",N/A,N/A,N/A,7 a.m. to 9 a.m.\n4:30 p.m. to 8:30 p.m.,"22.44185,114.028778",0
69,TP,bath,"Pak Shing Street, Tai Po",N/A,N/A,N/A,7 a.m. to 9 a.m.\n4:30 p.m. to 8:30 p.m.,"22.44935,114.16310",0
70,ST,bath,"No. 31, Shing Ho Road, Tai Wai",N/A,N/A,N/A,7 a.m. to 9 a.m.\n4:30 p.m. to 8:30 p.m.,"22.376046,114.179425",0
71,SK,bath,Yi Chun Street,N/A,N/A,N/A,7 a.m. to 9 a.m.\n4:30 p.m. to 8:30 p.m.,"22.380219,114.271831",0
72,N,bath,"Junction of San Shing Avenue and Fu Hing Street, Sheung Shui",N/A,N/A,N/A,7 a.m. to 9 a.m.\n4:30 p.m. to 8:30 p.m.,"22.50474,114.12941",0
73,N,bath,"Luen Cheong Street, Fanling",N/A,N/A,N/A,7 a.m. to 9 a.m.\n4:30 p.m. to 8:30 p.m.,"22.499456,114.143247",0
74,N,bath,"Che Ping Street, Sha Tau Kok",N/A,N/A,N/A,7 a.m. to 9 a.m.\n4:30 p.m. to 8:30 p.m.,"22.545281,114.224803",0
75,CW,hawker_fixpitch,Li Yuen Street East,N/A,N/A,N/A,N/A,"22.282827,114.156409",0
76,CW,hawker_fixpitch,Li Yuen Street West,N/A,N/A,N/A,N/A,"22.283123,114.156197",0
77,CW,hawker_fixpitch,Graham Street,N/A,N/A,N/A,N/A,"22.283066,114.153568",0
78,MK,hawker_fixpitch,Tung Choi Street,N/A,N/A,N/A,N/A,"22.316323,114.171167",0
79,MK,hawker_fixpitch,Canton Road,N/A,N/A,N/A,N/A,"22.31753,114.16751",0
80,MK,hawker_fixpitch,Nelson Street,N/A,N/A,N/A,N/A,"22.31866,114.17072",0
81,MK,hawker_fixpitch,Fa Yuen Street,N/A,N/A,N/A,N/A,"22.32277,114.17043",0
82,SSP,hawker_fixpitch,Ki Lung Street,N/A,N/A,N/A,N/A,"22.32788,114.16326",0
83,SSP,hawker_fixpitch,Tai Nan Street,N/A,N/A,N/A,N/A,"22.328675,114.161391",0
84,SSP,hawker_fixpitch,Pei Ho Street,N/A,N/A,N/A,N/A,"22.331523,114.163749",0
85,SSP,hawker_fixpitch,Fuk Wing Street,N/A,N/A,N/A,N/A,"22.331752,114.163046",0
86,SSP,hawker_fixpitch,Fat Tseung Street,N/A,N/A,N/A,N/A,"22.338112,114.157373",0
87,SSP,hawker_fixpitch,Cheung Fat Street,N/A,N/A,N/A,N/A,"22.339378,114.156986",0
88,S,hawker_bazaars,"Stanley Market Road, Stanley, HK",N/A,N/A,N/A,N/A,"22.218731,114.212353",0
89,KT,hawker_bazaars,"3 Lai Yip Street, Kwun Tong, Kowloon",N/A,N/A,N/A,N/A,"22.313797,114.216697",0
90,KT,hawker_bazaars,"38 Tung Yan Street, Kwun Tong",N/A,N/A,N/A,N/A,"22.313471,114.225996",0
91,YT,hawker_bazaars,"Kansu Street, Yau Ma Tei, Kowloon",N/A,N/A,N/A,N/A,"22.309069,114.169061",0
92,YT,hawker_bazaars,"Kansu Street, Yau Ma Tei, Kowloon",N/A,N/A,N/A,N/A,"22.309142,114.169489",0
93,YT,hawker_bazaars,"30 Haiphong Road, Tsim Sha Tsui, Kowloon",N/A,N/A,N/A,N/A,"22.297628,114.170014",0
94,YT,hawker_bazaars,"Reclamation Street, Yau Ma Tei, Kowloon",N/A,N/A,N/A,N/A,"22.307272,114.169119",0
95,YT,hawker_bazaars,"29-39 Woosung Street, Yau Ma Tei, Kowloon",N/A,N/A,N/A,N/A,"22.307714,114.170528",0
96,SSP,hawker_bazaars,"373 Lai Chi Kok Road, Kowloon",N/A,N/A,N/A,N/A,"22.329839,114.1585",0
97,YL,hawker_bazaars,"Kam Tin Main Road, Kam Tin",N/A,N/A,N/A,N/A,"22.440325,114.065178",0
98,TW,hawker_bazaars,"Hau Tei Square, Tsuen Wan, NT",N/A,N/A,N/A,N/A,"22.371025,114.115897",0
99,TW,hawker_bazaars,"Luen Yan Street, Tsuen Wan, NT",N/A,N/A,N/A,N/A,"22.36745,114.117783",0
100,TM,hawker_bazaars,"62 Lam Tei Main Street, Tuen Mun, NT",N/A,N/A,N/A,N/A,"22.418785,113.984037",0
101,KwT,hawker_bazaars,"28 Kwai Wing Road, Kwai Chung, NT",N/A,N/A,N/A,N/A,"22.366758,114.13425",0
102,Is,toilet,"Mui Wo Ferry Pier Road, Lantau",N/A,N/A,N/A,N/A,"22.265681,114.000836",0
103,CW,refuse,At side of Lan Kwai Fong Sitting-out Area,N/A,N/A,N/A,24 hours,"22.280871,114.155687",0
104,CW,refuse,Junction of Man Kat Street andamp; Connaught Rd. Central,N/A,N/A,N/A,6:30 am - 11:00 pm,"22.286978,114.154244",0
105,CW,refuse,38-42 Gage Street,N/A,N/A,N/A,24 hours,"22.283611,114.153033",0
106,CW,refuse,Junction of Robinson Road andamp; Castle Road,N/A,N/A,N/A,6:30 am - 11:00 pm,"22.281992,114.147717",0
107,CW,refuse,Junction of Arbuthnot Road andamp; Caine Road,N/A,N/A,N/A,6:30 am - 3:30 pm,"22.279303,114.154469",0
108,CW,refuse,Junction of Kennedy Rd. andamp; Underneath of Cotton Tree Drive flyover,N/A,N/A,N/A,7:00 am - 11:00 pm,"22.276775,114.1571",0
109,CW,refuse,Queensway Plaza,N/A,N/A,N/A,7:00 am - 11:00 pm,"22.278553,114.164503",0
110,CW,refuse,"Peak Galleria, Bus Terminus",N/A,N/A,N/A,8:00 am - 2:00 pm,"22.270072,114.150444",0
111,CW,refuse,"G/F, No. 21-23 Lok Ku Road, Sheung Wan",N/A,N/A,N/A,7:00 am - 11:30 pm,"22.285642,114.149228",0
112,CW,refuse,"No.8 in Ku Lane, Sheung Wan",N/A,N/A,N/A,6:30 am - 11:30 pm,"22.286581,114.145931",0
113,CW,refuse,"Junction of Centre Street andamp; First Street, Sheung Wan",N/A,N/A,N/A,6:30 am - 11:30 pm,"22.286325,114.142047",0
114,CW,refuse,"Junction of Third Street andamp; Eastern Street, Sheung Wan",N/A,N/A,N/A,7:00 am - 11:30 pm,"22.28592,114.143486",0
115,CW,refuse,"Basement Smithfield Municipal Services Building,\n12K Smithfield Road, Kennedy Town",N/A,N/A,N/A,6:30 am - 11:30 pm,"22.28193,114.12857",0
116,CW,refuse,"No. 43-47 Centre Street, Sai Ying Pun",N/A,N/A,N/A,7:00 am - 11:30 pm,"22.285911,114.142436",0
117,Wch,refuse,Junction of Paterson Street andamp; Gloucester Road,N/A,N/A,N/A,6:30 am - 3:30 pm,"22.282717,114.184831",0
118,CW,refuse,"G/F, Sheung Wan Municipal Services Building, 345, Queenand#039;s Road Central, Sheung Wan",N/A,N/A,N/A,7:00 am - 11:30 pm,"22.286164,114.149742",0
119,Wch,refuse,Opposite to 250 Gloucester Road,N/A,N/A,N/A,6:30 am - 11:30 pm,"22.280975,114.180989",0
120,CW,refuse,"Shek Tong Tsui Municipal Services Building, No. 470 Queenand#039;s Road West, Sai Wan",N/A,N/A,N/A,6:30 am - 11:30 pm,"22.285583,114.136108",0
121,Wch,refuse,224 Lockhart Road,N/A,N/A,N/A,6:30 am - 3:30 pm,"22.278147,114.175447",0
122,Wch,refuse,Junction of Luard Road andamp; Johnston Road,N/A,N/A,N/A,6:30 am - 11:30 pm,"22.276819,114.171633",0
123,Wch,refuse,Junction of Star Street and Sun Street,N/A,N/A,N/A,6:30 am - 3:00 pm,"22.276269,114.168297",0
124,Wch,refuse,Opposite to 7 Shiu Fai Terrace,N/A,N/A,N/A,6:30 am - 3:00 pm,"22.272694,114.1754",0
125,Wch,refuse,Junction of Cross Lane andamp; Bullock Lane,N/A,N/A,N/A,6:30 am - 11:30 pm,"22.276333,114.176058",0
126,Wch,refuse,Junction of Sing Woo Road andamp; Yik Yam Street,N/A,N/A,N/A,6:30 am - 11:30 pm,"22.269342,114.185169",0
127,Wch,refuse,No. 15 Wing Hing Street,N/A,N/A,N/A,7:00 am - 11:30 pm,"22.285461,114.191992",0
128,E,refuse,No. 3 Oil Street,N/A,N/A,N/A,7:00 am - 11:30 pm,"22.288144,114.192914",0
129,E,refuse,No. 99 Java Road (G/F of Java Road Market),N/A,N/A,N/A,7:00 am - 00:00 am,"22.292306,114.199358",0
130,E,refuse,No. 63 Tanner Road,N/A,N/A,N/A,7:00 am - 11:00 pm,"22.29115,114.203008",0
131,E,refuse,Marble Road opposite to Kingand#039;s Road Playground,N/A,N/A,N/A,7:00 am - 11:00 pm,"22.292650,114.203736",0
132,E,refuse,No. 41 Mansion Street,N/A,N/A,N/A,7:00 am - 11:00 pm,"22.289894,114.208617",0
133,E,refuse,No. 38 Quarry Bay Street,N/A,N/A,N/A,7:00 am - 11:00 pm,"22.283708,114.211883",0
134,E,refuse,Junction of Hing Man Street andamp; Oi Yee Street,N/A,N/A,N/A,7:00 am - 00:00 am,"22.281772,114.223275",0
135,E,refuse,No. 2A Sai Wan Ho Street,N/A,N/A,N/A,7:00 am - 00:00 am,"22.279819,114.225147",0
136,Is,refuse,"Ngan Shu Street, Mui Wo, Lantau Island",N/A,N/A,N/A,7:45 am - 4:00 pm,"22.266217,113.994569",0
137,Is,refuse,"Cheung Tung Road, Tung Chung, Lantau Island",N/A,N/A,N/A,6:30 am - 3:30 pm,"22.288883,113.945961",0
138,E,refuse,Junction of Kam Wa Street andamp; Wang Wa Street,N/A,N/A,N/A,7:00 am - 00:00 am,"22.277578,114.230572",0
139,E,refuse,No. 30 Cheung Lee Street,N/A,N/A,N/A,7:00 am - 11:00 pm,"22.265875,114.235206",0
140,E,refuse,"At side of Chai Wan Fire Station, Sheung On Street",N/A,N/A,N/A,7:00 am - 11:00 pm,"22.266944,114.243617",0
141,E,refuse,At side of No. 28 Tung Hei Road,N/A,N/A,N/A,7:00 am - 00:00 am,"22.280678,114.230311",0
142,S,refuse,"No.19 Tsung Man Street, Aberdeen",N/A,N/A,N/A,7:00 am - 11:30 pm,"22.249817,114.155397",0
143,S,refuse,"Next to No.9 Tin Wan Close, Tin Wan",N/A,N/A,N/A,7:00 am - 11:30 pm,"22.250519,114.149119",0
144,S,refuse,"Next to No.33 Beach Road, Repulse Bay",N/A,N/A,N/A,7:00 am - 4:00 pm,"22.237969,114.196003",0
145,S,refuse,Next to Carpark opposite No.20 Stanley Beach Road,N/A,N/A,N/A,7:00 am - 3:30 pm,"22.220853,114.213781",0
146,S,refuse,Next to Shek O Main Beach Carpark,N/A,N/A,N/A,7:00 am - 3:30 pm,"22.228994,114.249942",0
147,S,refuse,"Apleichau Municipal Services Building, No.8 Hung Shing Street, Apleichau",N/A,N/A,N/A,7:00 am - 11:30 pm,"22.244489,114.155406",0
148,S,refuse,"Opposite No.4 Lee Lok Street, Apleichau",N/A,N/A,N/A,7:00 am - 4:00 pm,"22.2372,114.153139",0
149,YT,refuse,"No. 1, Market Street",N/A,N/A,N/A,7:00 am - 3:30 pm,"22.309467,114.170489",0
150,YT,refuse,Opposite to No. 47 Man Cheong Street,N/A,N/A,N/A,6:30 am - 11:30 pm,"22.308256,114.165442",0
151,YT,refuse,No. 107 Parkes Street,N/A,N/A,N/A,4:30 am - 11:30 pm,"22.306422,114.170653",0
152,YT,refuse,No. 17 Bowring Street,N/A,N/A,N/A,6:30 am - 11:30 pm,"22.304553,114.168469",0
153,YT,refuse,No. 28 Kimberley Street,N/A,N/A,N/A,4:30 am - 11:30 pm,"22.300464,114.173836",0
154,YT,refuse,Opposite to No. 3 Minden Row Street,N/A,N/A,N/A,6:30 am - 11:30 pm,"22.296525,114.173828",0
155,YT,refuse,"Auto Plaza, Mody Square, Tsim Sha Tsui East",N/A,N/A,N/A,6:30 am - 17:30 pm,"22.298611,114.176622",0
156,MK,refuse,193 Portland Street,N/A,N/A,N/A,24 hours,"22.316989,114.168983",0
157,MK,refuse,62 Bedford Road,N/A,N/A,N/A,6:30 am - 11:00 pm,"22.323083,114.163994",0
158,MK,refuse,188 Sai Yee Street,N/A,N/A,N/A,6:30 am - 11:00 pm,"22.325108,114.170681",0
159,MK,refuse,Junction of Canton Road andamp; Nelson Street,N/A,N/A,N/A,6:30 am - 11:00 pm,"22.317872,114.167567",0
160,MK,refuse,Junction of Cheung Wong Road andamp; Shum Chun Street,N/A,N/A,N/A,6:30 am - 11:00 pm,"22.319247,114.166422",0
161,MK,refuse,661B Shanghai Street,N/A,N/A,N/A,24 hours,"22.320744,114.167419",0
162,MK,refuse,Opposite to 3-13 Nullah Street,N/A,N/A,N/A,6:30 am - 11:00 pm,"22.323553,114.169392",0
163,MK,refuse,"G/F, 123 Fa Yuen Street",N/A,N/A,N/A,6:30 am - 3:30 pm,"22.320728,114.170547",0
164,MK,refuse,Junction of Dundas Street andamp; Tung Choi Street,N/A,N/A,N/A,24 hours,"22.315417,114.171333",0
165,MK,refuse,Opposite to 47 Yu Chau Street,N/A,N/A,N/A,7:00 am - 11:30 pm,"22.326093,114.166593",0
166,MK,refuse,55 Anchor Street,N/A,N/A,N/A,6:30 am - 11:00 pm,"22.319958,114.164189",0
167,SSP,refuse,Junction of Cassia Road andamp; Begonia Road,N/A,N/A,N/A,7:00 am - 4:00 pm,"22.332033,114.173186",0
168,SSP,refuse,48 Fa Po Street,N/A,N/A,N/A,7:00 am - 4:00 pm,"22.334031,114.176525",0
169,SSP,refuse,Junction of Tai Nan Street andamp; Boundary Street,N/A,N/A,N/A,6:30 am - 11:00 pm,"22.326506,114.163917",0
170,SSP,refuse,333 Kilung Street,N/A,N/A,N/A,24 hours,"22.329061,114.161003",0
171,SSP,refuse,59-63 Un Chau Street,N/A,N/A,N/A,6:30 am - 11:00 pm,"22.332014,114.163322",0
172,SSP,refuse,360 Shun Ning Road,N/A,N/A,N/A,6:30 am - 11:00 pm,"22.340231,114.155178",0
173,SSP,refuse,113 King Lam Street,N/A,N/A,N/A,6:30 am - 3:30 pm,"22.340022,114.149111",0
174,SSP,refuse,24 Cheung Shun Street,N/A,N/A,N/A,6:30 am - 3:30 pm,"22.336058,114.146103",0
175,SSP,refuse,"Lai Wan Market, Mei Foo Sun Chuen",N/A,N/A,N/A,6:30 am - 11:00 pm,"22.337475,114.138044",0
176,SSP,refuse,152A Yee Kuk Street,N/A,N/A,N/A,6:30 am - 11:00 pm,"22.327889,114.160694",0
177,KC,refuse,"No. 3, Kowloon City Road",N/A,N/A,N/A,6:30 am - 11:30 pm,"22.317053,114.188336",0
178,KC,refuse,Junction of Gillies Avenue South andamp; Station Lane,N/A,N/A,N/A,7:00 am - 3:30 pm,"22.308022,114.185386",0
179,KC,refuse,Junction of On Ching Road andamp; Cheong Tung Road,N/A,N/A,N/A,08:30 - 17:30 hrs,"22.305431,114.182436",0
180,KC,refuse,"No.65, Baker Street",N/A,N/A,N/A,6:30 am - 11:30 pm,"22.307117,114.183931",0
181,KC,refuse,"No. 12A, Hok Yuen Street",N/A,N/A,N/A,7:00 am - 11:30 pm,"22.310775,114.187161",0
182,KC,refuse,"18 Sung On Street, Peninsula Square",N/A,N/A,N/A,7:00 am - 11:30 pm,"22.311461,114.189831",0
183,KC,refuse,"Cheung Ning Street, at side of To Kwa Wan Recreation Ground",N/A,N/A,N/A,6:30 am - 11:30 pm,"22.318469,114.189947",0
184,KC,refuse,Kwei Chow Street opposite to Vehicle Examination Centre,N/A,N/A,N/A,6:30 am - 11:30 pm,"22.316456,114.192472",0
185,KC,refuse,Junction of Shek Ku Lung Road andamp; Carpenter Road,N/A,N/A,N/A,6:30 am - 11:30 pm,"22.330444,114.193492",0
186,KC,refuse,"Tung Tsing Road, at side of Kowloon Walled City Park",N/A,N/A,N/A,08:30 - 17:30 hrs,"22.331617,114.191822",0
187,KC,refuse,"No. 30-32, Lung Kong Road",N/A,N/A,N/A,6:30 am - 11:30 pm,"22.329831,114.190589",0
188,KC,refuse,Junction of Peace Avenue andamp; liberty Avenue,N/A,N/A,N/A,6:30 am - 11:30 pm,"22.318586,114.173972",0
189,KC,refuse,"Man Wan Road, at side of Yu Chun Keung Memorial College",N/A,N/A,N/A,08:30 - 17:30 hrs,"22.318397,114.178164",0
190,KC,refuse,Hau Wong Road (Kowloon City Municipal Service Building),N/A,N/A,N/A,6:30 am - 11:30 pm,"22.32955,114.189017",0
191,KC,refuse,"Baptist University Road, opposite to Baptist University Block 6",N/A,N/A,N/A,08:30 - 17:30 hrs,"22.336406,114.183242",0
192,KC,refuse,"At side of No.63, Broadcast Drive, Peninsula Heights",N/A,N/A,N/A,08:30 - 17:30 hrs,"22.343431,114.182467",0
193,KC,refuse,Ma Tau Kok Road,N/A,N/A,N/A,24 hours,"22.321133,114.190811",0
194,WTS,refuse,"G/F, San Po Kong Plaza, No. 33 Shung Ling Street, San Po Kong",N/A,N/A,N/A,7:00 am - 11:00 pm,"22.334914,114.196094",0
195,WTS,refuse,"G/F, No. 4-6 Yuk Wah Crescent, Tsz Wah Shan",N/A,N/A,N/A,7:00 am - 11:00 pm,"22.346669,114.201056",0
196,WTS,refuse,"G/F, Sheung Fung Street Market, Fung Wong Sun Tsuen",N/A,N/A,N/A,7:00 am - 11:00 pm,"22.343908,114.197242",0
